,Date,Total cases,New cases,Total recovered,Total deaths,New deaths
0,2020-01-30,1,1,0,0,0
1,2020-01-31,1,0,0,0,0
2,2020-02-01,1,0,0,0,0
3,2020-02-02,2,1,0,0,0
4,2020-02-03,2,0,0,0,0
5,2020-02-04,3,1,0,0,0
6,2020-02-05,3,0,0,0,0
7,2020-02-06,3,0,0,0,0
8,2020-02-07,3,0,0,0,0
9,2020-02-08,3,0,0,0,0
10,2020-02-09,3,0,0,0,0
11,2020-02-10,3,0,0,0,0
12,2020-02-11,3,0,0,0,0
13,2020-02-12,3,0,0,0,0
14,2020-02-13,3,0,1,0,0
15,2020-02-14,3,0,1,0,0
16,2020-02-15,3,0,1,0,0
17,2020-02-16,3,0,2,0,0
18,2020-02-17,3,0,2,0,0
19,2020-02-18,3,0,2,0,0
20,2020-02-19,3,0,2,0,0
21,2020-02-20,3,0,3,0,0
22,2020-02-21,3,0,3,0,0
23,2020-02-22,3,0,3,0,0
24,2020-02-23,3,0,3,0,0
25,2020-02-24,3,0,3,0,0
26,2020-02-25,3,0,3,0,0
27,2020-02-26,3,0,3,0,0
28,2020-02-27,3,0,3,0,0
29,2020-02-28,3,0,3,0,0
30,2020-02-29,3,0,3,0,0
31,2020-03-01,3,0,3,0,0
32,2020-03-02,3,0,3,0,0
33,2020-03-03,5,2,3,0,0
34,2020-03-04,6,1,3,0,0
35,2020-03-05,28,22,3,0,0
36,2020-03-06,29,1,3,0,0
37,2020-03-07,31,2,3,0,0
38,2020-03-08,34,3,3,0,0
39,2020-03-09,34,0,3,0,0
40,2020-03-10,44,10,4,0,0
41,2020-03-11,50,6,4,0,0
42,2020-03-12,73,23,4,0,0
43,2020-03-13,75,2,10,1,1
44,2020-03-14,83,8,10,2,1
45,2020-03-15,90,7,13,2,0
46,2020-03-16,93,3,14,2,0
47,2020-03-17,125,32,15,3,1
48,2020-03-18,137,12,15,3,0
49,2020-03-19,165,28,20,3,0
50,2020-03-20,191,26,23,4,1
51,2020-03-21,231,40,23,4,0
52,2020-03-22,320,89,23,4,0
53,2020-03-23,439,119,25,7,3
54,2020-03-24,492,53,40,9,2
55,2020-03-25,562,70,43,9,0
56,2020-03-26,649,87,50,13,4
57,2020-03-27,724,75,75,17,4
58,2020-03-28,873,149,85,19,2
59,2020-03-29,979,106,102,25,6
60,2020-03-30,1071,92,137,29,4
61,2020-03-31,1251,180,150,32,3
62,2020-04-01,1397,146,169,35,3
63,2020-04-02,1965,568,191,50,15
64,2020-04-03,2301,336,230,56,6
65,2020-04-04,2902,601,286,68,12
66,2020-04-05,3374,472,329,77,9
67,2020-04-06,4067,693,394,109,32
68,2020-04-07,4421,354,469,114,5
69,2020-04-08,5194,773,565,149,35
70,2020-04-09,5734,540,635,166,17
71,2020-04-10,6412,678,786,199,33
72,2020-04-11,7447,1035,972,239,40
73,2020-04-12,8356,909,1086,273,34
74,2020-04-13,9152,796,1198,308,35
75,2020-04-14,10363,1211,1365,339,31
76,2020-04-15,11438,1075,1509,377,38
77,2020-04-16,12380,942,1767,414,37
78,2020-04-17,13387,1007,2040,437,23
79,2020-04-18,14378,991,2466,480,43
80,2020-04-19,15712,1334,2854,507,27
81,2020-04-20,17265,1553,3273,543,36
82,2020-04-21,18600,1335,3976,590,47
83,2020-04-22,19984,1384,4370,640,50
84,2020-04-23,21393,1409,5012,681,41
85,2020-04-24,23077,1684,5496,718,37
86,2020-04-25,24506,1429,5938,775,57
87,2020-04-26,26496,1990,6523,824,49
88,2020-04-27,27892,1396,7103,872,48
89,2020-04-28,29435,1543,7739,934,62
90,2020-04-29,31332,1897,8429,1007,73
91,2020-04-30,33050,1718,9059,1074,67
92,2020-05-01,35043,1993,10021,1147,73
93,2020-05-02,37336,2293,10852,1218,71
94,2020-05-03,39980,2644,11763,1301,83
95,2020-05-04,42533,2553,12845,1373,72
96,2020-05-05,46433,3900,14140,1568,195
97,2020-05-06,49391,2958,15301,1694,126
98,2020-05-07,52952,3561,16776,1783,89
99,2020-05-08,56342,3390,17887,1886,103
100,2020-05-09,59662,3320,19301,1981,95
101,2020-05-10,62939,3277,20970,2109,128
102,2020-05-11,67152,4213,22549,2206,97
103,2020-05-12,70756,3604,24454,2293,87
104,2020-05-13,74281,3525,26417,2415,122
105,2020-05-14,78003,3722,28011,2549,134
106,2020-05-15,81970,3967,30245,2649,100
107,2020-05-16,85940,3970,34257,2752,103
108,2020-05-17,90927,4987,36795,2872,120
109,2020-05-18,96169,5242,39277,3029,157
110,2020-05-19,101139,4970,42309,3163,134
111,2020-05-20,106750,5611,45422,3303,140
112,2020-05-21,112359,5609,48553,3435,132
113,2020-05-22,118447,6088,51833,3583,148
114,2020-05-23,125101,6654,54409,3720,137
115,2020-05-24,131868,6767,57694,3867,147
116,2020-05-25,138845,6977,60706,4021,154
117,2020-05-26,145380,6535,64291,4167,146
118,2020-05-27,151767,6387,67725,4337,170
119,2020-05-28,158333,6566,70896,4531,194
120,2020-05-29,165799,7466,82631,4706,175
121,2020-05-30,173763,7964,86934,4971,265
122,2020-05-31,182143,8380,91862,5164,193
123,2020-06-01,190535,8392,95744,5394,230
124,2020-06-02,198706,8171,100275,5598,204
125,2020-06-03,207615,8909,104064,5815,217
126,2020-06-04,216919,9304,108454,6075,260
127,2020-06-05,226770,9851,113224,6348,273
128,2020-06-06,236657,9887,118657,6642,294
129,2020-06-07,246628,9971,123848,6929,287
130,2020-06-08,256611,9983,129019,7135,206
131,2020-06-09,266598,9987,134653,7466,331
132,2020-06-10,276583,9985,140928,7745,279
133,2020-06-11,286579,9996,146972,8102,357
134,2020-06-12,297535,10956,154235,8498,396
135,2020-06-13,308993,11458,162327,8884,386
136,2020-06-14,320922,11929,169685,9195,311
137,2020-06-15,332424,11502,180324,9520,325
138,2020-06-16,343091,10667,187550,9900,380
139,2020-06-17,354065,10974,194440,11903,2003
140,2020-06-18,366946,12881,205181,12237,334
141,2020-06-19,380532,13586,214210,12573,336
142,2020-06-20,395048,14516,228184,12948,375
143,2020-06-21,410461,15413,237259,13254,306
144,2020-06-22,425282,14821,248138,13699,445
145,2020-06-23,440215,14933,258600,14011,312
146,2020-06-24,456183,15968,271689,14476,465
147,2020-06-25,473105,16922,285672,14894,418
148,2020-06-26,490401,17296,295918,15301,407
149,2020-06-27,508953,18552,310147,15685,384
150,2020-06-28,528859,19906,321778,16095,410
151,2020-06-29,548318,19459,335275,16475,380
152,2020-06-30,566840,18522,347840,16893,418
153,2020-07-01,585493,18653,359904,17400,507
154,2020-07-02,604641,19148,379903,17834,434
155,2020-07-03,625544,20903,394320,18213,379
156,2020-07-04,648315,22771,409066,18655,442
157,2020-07-05,673165,24850,424895,19268,613
158,2020-07-06,697413,24248,440210,19693,425
159,2020-07-07,719665,22252,457046,20160,467
160,2020-07-08,742417,22752,476554,20642,482
161,2020-07-09,767296,24879,495962,21129,487
162,2020-07-10,793802,26506,516251,21604,475
163,2020-07-11,820916,27114,536232,22123,519
164,2020-07-12,849553,28637,554430,22674,551
165,2020-07-13,878254,28701,572113,23174,500
166,2020-07-14,906752,28498,593090,23727,553
167,2020-07-15,936181,29429,613736,24309,582
168,2020-07-16,968876,32695,636603,24915,606
169,2020-07-17,1003832,34956,654079,25602,687
170,2020-07-18,1038716,34884,677662,26273,671
171,2020-07-19,1077618,38902,700392,26816,543
172,2020-07-20,1118043,40425,724695,27497,681
173,2020-07-21,1155191,37148,752284,28084,587
174,2020-07-22,1192915,37724,784159,28732,648
175,2020-07-23,1238635,45720,817485,29861,1129
176,2020-07-24,1287945,49310,849999,30601,740
177,2020-07-25,1336861,48916,887124,31358,757
178,2020-07-26,1385522,48661,918636,32063,705
179,2020-07-27,1435453,49931,952990,32771,708
180,2020-07-28,1483156,47703,988673,33425,654
181,2020-07-29,1531669,48513,1021559,34193,768
182,2020-07-30,1583792,52123,1058984,34968,775
183,2020-07-31,1638870,55078,1095538,35747,779
184,2020-08-01,1695988,57118,1146906,36511,764
185,2020-08-02,1750723,54735,1187261,37364,853
186,2020-08-03,1803695,52972,1230331,38135,771
187,2020-08-04,1855745,52050,1281551,38938,803
188,2020-08-05,1908254,52509,1327134,39795,857
189,2020-08-06,1964536,56282,1377275,40699,904
190,2020-08-07,2027074,62538,1427662,41585,886
191,2020-08-08,2088611,61537,1479797,42518,933
192,2020-08-09,2153010,64399,1534271,43379,861
193,2020-08-10,2215074,62064,1581633,44386,1007
194,2020-08-11,2268675,53601,1638094,45257,871
195,2020-08-12,2329638,60963,1695853,46091,834
196,2020-08-13,2396637,66999,1750629,47033,942
197,2020-08-14,2461190,64553,1807549,48040,1007
198,2020-08-15,2526192,65002,1860665,49036,996
199,2020-08-16,2589682,63490,1918069,49980,944
200,2020-08-17,2647663,57981,1976241,50921,941
201,2020-08-18,2702742,55079,2036696,51797,876
202,2020-08-19,2767273,64531,2096061,52889,1092
203,2020-08-20,2836925,69652,2157934,53866,977
204,2020-08-21,2905823,68898,2220792,54849,983
205,2020-08-22,2975701,69878,2279893,55794,945
206,2020-08-23,3044940,69239,2336789,56706,912
207,2020-08-24,3106348,61408,2403094,57542,836
208,2020-08-25,3167323,60975,2467245,58390,848
209,2020-08-26,3234474,67151,2523436,59449,1059
210,2020-08-27,3310234,75760,2583056,60472,1023
211,2020-08-28,3387500,77266,2647531,61529,1057
212,2020-08-29,3463972,76472,2712513,62550,1021
213,2020-08-30,3542733,78761,2772935,63498,948
214,2020-08-31,3621245,78512,2837370,64469,971
215,2020-09-01,3691166,69921,2899515,65228,759
216,2020-09-02,3769523,78357,2967389,66333,1105
217,2020-09-03,3853406,83883,3034880,67376,1043
218,2020-09-04,3936747,83341,3104505,68472,1096
219,2020-09-05,4023179,86432,3177666,69561,1089
220,2020-09-06,4113811,90632,3247296,70626,1065
221,2020-09-07,4204613,90802,3321412,71642,1016
222,2020-09-08,4280422,75809,3396020,72775,1133
223,2020-09-09,4370128,89706,3469082,73890,1115
224,2020-09-10,4465863,95735,3539986,75062,1172
225,2020-09-11,4562414,96551,3621442,76271,1209
226,2020-09-12,4659984,97570,3699304,77472,1201
227,2020-09-13,4754356,94372,3777052,78586,1114
228,2020-09-14,4846427,92071,3856265,79722,1136
229,2020-09-15,4930236,83809,3939114,80776,1054
230,2020-09-16,5020359,90123,4022038,82066,1290
231,2020-09-17,5118253,97894,4109826,83198,1132
232,2020-09-18,5214677,96424,4205341,84372,1174
233,2020-09-19,5308014,93337,4299730,85619,1247
234,2020-09-20,5400619,92605,4392656,86752,1133
235,2020-09-21,5487580,86961,4494726,87882,1130
236,2020-09-22,5562663,75083,4584383,88935,1053
237,2020-09-23,5646010,83347,4671842,90020,1085
238,2020-09-24,5732518,86508,4752984,91149,1129
239,2020-09-25,5818570,86052,4846315,92290,1141
240,2020-09-26,5903932,85362,4938680,93379,1089
241,2020-09-27,5992532,88600,5013371,94503,1124
242,2020-09-28,6074702,82170,5098569,95542,1039
243,2020-09-29,6145291,70589,5184719,96318,776
244,2020-09-30,6225763,80472,5269993,97497,1179
245,2020-10-01,6312584,86821,5348724,98678,1181
246,2020-10-02,6394068,81484,5425063,99773,1095
247,2020-10-03,6473544,79476,5506718,100842,1069
248,2020-10-04,6549373,75829,5583431,101782,940
249,2020-10-05,6623815,74442,5659286,102685,903
250,2020-10-06,6685082,61267,5741231,103569,884
251,2020-10-07,6757131,72049,5824440,104555,986
252,2020-10-08,6835655,78524,5903185,105526,971
253,2020-10-09,6906151,70496,5985813,106490,964
254,2020-10-10,6979423,73272,6074837,107416,926
255,2020-10-11,7053806,74383,6146402,108334,918
256,2020-10-12,7120538,66732,6224767,109150,816
257,2020-10-13,7175880,55342,6298846,109856,706
258,2020-10-14,7239389,63509,6380428,110586,730
259,2020-10-15,7307097,67708,6451220,111266,680
260,2020-10-16,7370468,63371,6521788,112161,895
261,2020-10-17,7432680,62212,6594371,112998,837
262,2020-10-18,7494551,61871,6660789,114031,1033
263,2020-10-19,7550273,55722,6730589,114610,579
264,2020-10-20,7597063,46790,6792417,115197,587
265,2020-10-21,7651107,54044,6871978,115914,717
266,2020-10-22,7706946,55839,6946547,116616,702
267,2020-10-23,7761312,54366,7013541,117306,690
268,2020-10-24,7814682,53370,7075811,117956,650
269,2020-10-25,7864811,50129,7135115,118534,578
270,2020-10-26,7909959,45148,7198849,119014,480
271,2020-10-27,7946429,36470,7257278,119502,488
272,2020-10-28,7990322,43893,7313872,120010,508
273,2020-10-29,8040203,49881,7371739,120527,517
274,2020-10-30,8088851,48648,7430744,121090,563
275,2020-10-31,8137119,48268,7489426,121641,551
276,2020-11-01,8184082,46963,7542738,122111,470
277,2020-11-02,8229313,45231,7601262,122607,496
278,2020-11-03,8267623,38310,7654590,123097,490
279,2020-11-04,8313876,46253,7710463,123611,514
280,2020-11-05,8364086,50210,7764596,124315,704
281,2020-11-06,8411724,47638,7818542,124985,670
282,2020-11-07,8462080,50356,7867124,125562,577
283,2020-11-08,8507754,45674,7915589,126121,559
284,2020-11-09,8553657,45903,7957038,126611,490
285,2020-11-10,8591730,38073,8011677,127059,448
286,2020-11-11,8636011,44281,8064381,127571,512
287,2020-11-12,8683916,47905,8113735,128121,550
288,2020-11-13,8728795,44879,8161355,128668,547
289,2020-11-14,8773479,44684,8203672,129188,520
290,2020-11-15,8814579,41100,8247783,129635,447
291,2020-11-16,8845127,30548,8288175,130070,435
292,2020-11-17,8874290,29163,8332928,130519,449
293,2020-11-18,8912907,38617,8381603,130993,474
294,2020-11-19,8958483,45576,8426849,131578,585
295,2020-11-20,9004365,45882,8475817,132162,584
296,2020-11-21,9050597,46232,8519872,132726,564
297,2020-11-22,9095806,45209,8561277,133227,501
298,2020-11-23,9139865,44059,8603472,133738,511
299,2020-11-24,9177840,37975,8641237,134218,480
300,2020-11-25,9222216,44376,8677819,134699,481
